openalex_id,doi,title,year,venue,cited_by,class,subsection,class_score,margin,seed_sim,needs_review,source,matched_query,abstract
W2736402913,,A Cost-Effective Framework for Automated Vehicle-Pedestrian Near-Miss Detection Through Onboard Monocular Vision,2017,,26,Perception-related,Other Perception Methods,0.457,0.1342,,False,seed,,Onboard monocular cameras have been widely deployed in both public transit and personal vehicles. Obtaining vehicle-pedestrian near-miss event data from onboard monocular vision systems may be cost-effective compared with onboard multiple-sensor systems or traffic surveillance videos. But extracting near-misses from onboard monocular vision is challenging and little work has been published. This paper fills the gap by developing a framework to automatically detect vehicle-pedestrian near-misses through onboard monocular vision. The proposed framework can estimate depth and real-world motion information through monocular vision with a moving video background. The experimental results based on processing over 30-hours video data demonstrate the ability of the system to capture near-misses by comparison with the events logged by the Rosco/MobilEye Shield+ system which includes four cameras working cooperatively. The detection overlap rate reaches over 90% with the thresholds properly set.
W4385506450,10.1016/j.ssci.2023.106233,A quantitative method to determine what collisions are reasonably foreseeable and preventable,2023,Safety Science,7,Trajectory-related,Probability Estimation,0.6348,0.3825,,False,seed,,
W106195609,10.1007/978-3-662-45489-3_5,Computing Behavioral Relations for Probabilistic Concurrent Systems,2012,"Stochastic Model Checking. Rigorous Dependability Analysis Using Model
Checking Techniques for Stochastic Systems - International Autumn
School, {ROCKS} 2012, Vahrn, Italy, October 22-26, 2012, Advanced
Lectures",7,Trajectory-related,Probability Estimation,0.2915,0.1333,,False,seed,,
W3161651929,10.1016/j.aap.2021.106157,A review of surrogate safety measures and their applications in connected and automated vehicles safety modeling,2021,Accident Analysis {\&} Prevention,435,Trajectory-related,Surrogate Safety Metrics,0.7068,0.4173,,False,seed,,
W2109086258,10.1109/ivs.2008.4621250,A situation and threat assessment algorithm for a rear-end collision avoidance system,2008,2008 IEEE Intelligent Vehicles Symposium,52,Trajectory-related,Surrogate Safety Metrics,0.619,0.2967,,False,seed,,"Rear-end collisions are common accident scenarios and a frequent cause of these accidents is driver distraction. This paper presents a situation assessment (SA) algorithm that estimates driver distraction by continuously assessing the steering actions of the driver. A collision avoidance (CA) system is proposed, which combines the SA with a threat assessment (TA) algorithm that estimates the effort needed to avoid a collision. It is shown that the SA algorithm proposed enables the CA system to initiate earlier brake interventions when the driver is assessed as being distracted, without significantly increasing the risk of false interventions in real traffic. The CA system has been evaluated in both collision situations on a test track and during 200 driving hours in real traffic conditions."
W2133235827,10.1109/tcsvt.2008.927109,A survey of vision-based trajectory learning and analysis for surveillance,2008,IEEE Transactions on Circuits and Systems for Video Technology,472,Trajectory-related,Machine Learning (trajectory),0.5187,0.244,,False,seed,,"This paper presents a survey of trajectory-based activity analysis for visual surveillance. It describes techniques that use trajectory data to define a general set of activities that are applicable to a wide range of scenes and environments. Events of interest are detected by building a generic topographical scene description from underlying motion structure as observed over time. The scene topology is automatically learned and is distinguished by points of interest and motion characterized by activity paths. The methods we review are intended for real-time surveillance through definition of a diverse set of events for further analysis triggering, including virtual fencing, speed profiling, behavior classification, anomaly detection, and object interaction."
W4313041116,,A Survey on Knowledge Graph-based Methods for Automated Driving,2022,,21,Knowledge-driven,Influencing Factors,0.6229,0.2185,,False,seed,,
W3131573665,10.1016/j.aap.2021.106016,A Systematic Mapping Review of Surrogate Safety Assessment Using Traffic Conflict Techniques,2021,Accident Analysis {\&} Prevention,282,Trajectory-related,Surrogate Safety Metrics,0.755,0.5019,,False,seed,,
W3032950445,10.1109/tits.2020.2991039,A Theoretical Foundation of Intelligence Testing and Its Application for Intelligent Vehicles,2021,IEEE Transactions on Intelligent Transportation Systems,66,Trajectory-related,Challenging the System Under Test,0.5797,0.2025,,False,seed,,"Intelligent vehicle testing received quickly increasing attention due to the intermittent accidents of intelligent vehicle prototypes that occurred recently. In this paper, we investigate the theoretical underpinnings of such testing and establish a rigid analyzing framework for general intelligence testing problems by borrowing the ideas of Probably Approximately Correct (PAC) learning. Our focus is on the relationship between the number of sampled scenarios and the testing efficiency. We explain various existing algorithms within this new framework and clarify some misconceptions about the reasoning underpinning these methods. We show that intelligent vehicles are testable if the testing scenarios are well defined and appropriately sampled. Moreover, we propose a sampling strategy to generate new challenging scenarios to boost testing efficiency."
W2511072509,10.1109/tits.2017.2701846,Accelerated Evaluation of Automated Vehicles in Car-Following Maneuvers,2018,IEEE Transactions on Intelligent Transportation Systems,246,Trajectory-related,Novel Scenario Generation,0.6164,0.259,,False,seed,,"The safety of automated vehicles (AVs) must be assured before their release and deployment. The current approach to evaluation relies primarily on 1) testing AVs on public roads or 2) track testing with scenarios defined in a test matrix. These two methods have completely opposing drawbacks: the former, while offering realistic scenarios, takes too much time to execute and the latter, though it can be completed in a short amount of time, has no clear correlation to safety benefits in the real world. To avoid the aforementioned problems, we propose accelerated evaluation, focusing on the car-following scenario. The stochastic human-controlled vehicle (HV) motions are modeled based on 1.3 million miles of naturalistic driving data collected by the University of Michigan Safety Pilot Model Deployment Program. The statistics of the HV behaviors are then modified to generate more intense interactions between HVs and AVs to accelerate the evaluation procedure. The importance sampling theory was used to ensure that the safety benefits of AVs are accurately assessed under accelerated tests. Crash, injury and conflict rates for a simulated AV are simulated to demonstrate the proposed approach. Results show that test duration is reduced by a factor of 300 to 100 000 compared with the non-accelerated (naturalistic) evaluation. In other words, the proposed techniques have great potential for accelerating the AV evaluation process."
